country,chapter_number,chapter_title,section_number,section_title,section_file,indicator_codes_to_check,source_ids_to_check,chapter_chart_count,update_instruction
MMR,4,4. Political System and Power Structure,3,"Parliament, Parties, and Elections",report/sections/04-03-parliament-parties-and-elections.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,4,4. Political System and Power Structure,4,"Judiciary, Rule of Law, Corruption, and Accountability",report/sections/04-04-judiciary-rule-of-law-corruption-and-accountability.html,RL.EST; CC.EST,MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,4,4. Political System and Power Structure,5,Local Politics and Real Power Relations,report/sections/04-05-local-politics-and-real-power-relations.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,4,4. Political System and Power Structure,6,Political System Diagnostics and Democratic Trajectory,report/sections/04-06-political-system-diagnostics-and-democratic-trajectory.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,1,Central Government and Core Coordinating Institutions,report/sections/05-01-central-government-and-core-coordinating-institutions.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,2,Organizational Management and Bureaucratic Reform,report/sections/05-02-organizational-management-and-bureaucratic-reform.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,3,Human Resource Management and Civil Service,report/sections/05-03-human-resource-management-and-civil-service.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,4,"Financial Administration, Procurement, Audit, and Inspection",report/sections/05-04-financial-administration-procurement-audit-and-inspection.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,5,Local Administration and Service Delivery,report/sections/05-05-local-administration-and-service-delivery.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,6,Digital Government and Administrative Accountability,report/sections/05-06-digital-government-and-administrative-accountability.html,IT.NET.USER.ZS; IT.CEL.SETS.P2,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,5,5. Administrative System and Government Organization,7,Implementation Capacity and Administrative Performance,report/sections/05-07-implementation-capacity-and-administrative-performance.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,6,6. Governance and Institutional Capacity,1,Government Effectiveness and Regulatory Quality,report/sections/06-01-government-effectiveness-and-regulatory-quality.html,VA.EST; PV.EST; GE.EST; RQ.EST; RL.EST; CC.EST,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,6,6. Governance and Institutional Capacity,2,Rule of Law and Corruption Control,report/sections/06-02-rule-of-law-and-corruption-control.html,VA.EST; PV.EST; GE.EST; RQ.EST; RL.EST; CC.EST,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,6,6. Governance and Institutional Capacity,3,"Voice, Accountability, Stability, and Security Pressure",report/sections/06-03-voice-accountability-stability-and-security-pressure.html,VA.EST; PV.EST; GE.EST; RQ.EST; RL.EST; CC.EST; MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,6,6. Governance and Institutional Capacity,4,Reading Governance Indicators with Institutions,report/sections/06-04-reading-governance-indicators-with-institutions.html,VA.EST; PV.EST; GE.EST; RQ.EST; RL.EST; CC.EST,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,7,7. Fiscal System and Public Sector,1,"Revenue, Taxation, and Public Finance",report/sections/07-01-revenue-taxation-and-public-finance.html,rev; GC.TAX.TOTL.GD.ZS; GC.XPN.TOTL.GD.ZS; GGXWDG_NGDP; ie; FS.AST.PRVT.GD.ZS; CM.MKT.LCAP.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,7,7. Fiscal System and Public Sector,2,"Expenditure, Deficit, Debt, and Fiscal Risk",report/sections/07-02-expenditure-deficit-debt-and-fiscal-risk.html,rev; GC.TAX.TOTL.GD.ZS; GC.XPN.TOTL.GD.ZS; GGXWDG_NGDP; ie,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,7,7. Fiscal System and Public Sector,3,Public Financial Management and Budget Reform,report/sections/07-03-public-financial-management-and-budget-reform.html,rev; GC.TAX.TOTL.GD.ZS; GC.XPN.TOTL.GD.ZS; GGXWDG_NGDP; ie,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,7,7. Fiscal System and Public Sector,4,"SOEs, Security Expenditure, and Contingent Liabilities",report/sections/07-04-soes-security-expenditure-and-contingent-liabilities.html,rev; GC.TAX.TOTL.GD.ZS; GC.XPN.TOTL.GD.ZS; GGXWDG_NGDP; ie; MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,8,8. Population and Social Structure,1,Population Scale and Demographic Structure,report/sections/08-01-population-scale-and-demographic-structure.html,SP.POP.TOTL; SP.URB.TOTL.IN.ZS; SP.POP.0014.TO.ZS; SP.POP.1564.TO.ZS; SP.POP.65UP.TO.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,8,8. Population and Social Structure,2,Urbanization and Regional Inequality,report/sections/08-02-urbanization-and-regional-inequality.html,SP.URB.TOTL.IN.ZS; SP.POP.TOTL,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,8,8. Population and Social Structure,3,"Ethnicity, Language, Religion, and Social Cohesion",report/sections/08-03-ethnicity-language-religion-and-social-cohesion.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,8,8. Population and Social Structure,4,"Migration, Diaspora, and Remittances",report/sections/08-04-migration-diaspora-and-remittances.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,9,9. Macroeconomic Structure,1,Macroeconomic Diagnostic Framework,report/sections/09-01-macroeconomic-diagnostic-framework.html,NY.GDP.MKTP.KD.ZG; NY.GDP.PCAP.CD; NY.GDP.DEFL.KD.ZG,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,9,9. Macroeconomic Structure,2,"Output, Growth, and Income Level",report/sections/09-02-output-growth-and-income-level.html,NY.GDP.MKTP.KD.ZG; NY.GDP.PCAP.CD; NY.GDP.DEFL.KD.ZG,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,9,9. Macroeconomic Structure,3,"Prices, Exchange Rate, and External Buffers",report/sections/09-03-prices-exchange-rate-and-external-buffers.html,NY.GDP.MKTP.KD.ZG; NY.GDP.PCAP.CD; NY.GDP.DEFL.KD.ZG,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,9,9. Macroeconomic Structure,4,"Trade Balance, External Position, and Openness",report/sections/09-04-trade-balance-external-position-and-openness.html,NY.GDP.MKTP.KD.ZG; NY.GDP.PCAP.CD; NY.GDP.DEFL.KD.ZG; NE.EXP.GNFS.ZS; NE.IMP.GNFS.ZS; BN.CAB.XOKA.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,9,9. Macroeconomic Structure,5,"Sectoral Structure, Vulnerability, and Macroeconomic Outlook",report/sections/09-05-sectoral-structure-vulnerability-and-macroeconomic-outlook.html,NY.GDP.MKTP.KD.ZG; NY.GDP.PCAP.CD; NY.GDP.DEFL.KD.ZG,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,10,"10. Trade, Investment, and External Economy",1,"Exports, Imports, and Current Account",report/sections/10-01-exports-imports-and-current-account.html,NE.EXP.GNFS.ZS; NE.IMP.GNFS.ZS; BN.CAB.XOKA.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,10,"10. Trade, Investment, and External Economy",2,Export Composition and External Dependence,report/sections/10-02-export-composition-and-external-dependence.html,NE.EXP.GNFS.ZS; NE.IMP.GNFS.ZS; BN.CAB.XOKA.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,10,"10. Trade, Investment, and External Economy",3,"FDI, Investment Climate, and Industrial Policy",report/sections/10-03-fdi-investment-climate-and-industrial-policy.html,NE.EXP.GNFS.ZS; NE.IMP.GNFS.ZS; BN.CAB.XOKA.GD.ZS; BX.KLT.DINV.CD.WD; BX.KLT.DINV.WD.GD.ZS; NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,10,"10. Trade, Investment, and External Economy",4,Regional Integration and Diversification,report/sections/10-04-regional-integration-and-diversification.html,NE.EXP.GNFS.ZS; NE.IMP.GNFS.ZS; BN.CAB.XOKA.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,11,"11. Infrastructure, Energy, and Digital Connectivity",1,Electricity and Energy Security,report/sections/11-01-electricity-and-energy-security.html,EG.ELC.ACCS.ZS; MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,11,"11. Infrastructure, Energy, and Digital Connectivity",2,"Transport, Logistics, Ports, and Corridors",report/sections/11-02-transport-logistics-ports-and-corridors.html,LP.LPI.OVRL.XQ,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,11,"11. Infrastructure, Energy, and Digital Connectivity",3,Digital Connectivity and Cyber Capacity,report/sections/11-03-digital-connectivity-and-cyber-capacity.html,IT.NET.USER.ZS; IT.CEL.SETS.P2,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,11,"11. Infrastructure, Energy, and Digital Connectivity",4,"Infrastructure Finance, Climate Resilience, and Maintenance",report/sections/11-04-infrastructure-finance-climate-resilience-and-maintenance.html,FS.AST.PRVT.GD.ZS; CM.MKT.LCAP.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,12,12. Labor Market and Human Capital,1,"Labor Force, Participation, and Informality",report/sections/12-01-labor-force-participation-and-informality.html,SL.TLF.TOTL.IN; SL.TLF.CACT.ZS; SL.TLF.CACT.FE.ZS; SL.UEM.TOTL.ZS; SL.UEM.1524.ZS; SL.AGR.EMPL.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,12,12. Labor Market and Human Capital,2,"Women, Youth, Vulnerable Employment, and Skills",report/sections/12-02-women-youth-vulnerable-employment-and-skills.html,SL.TLF.TOTL.IN; SL.TLF.CACT.ZS; SL.TLF.CACT.FE.ZS; SL.UEM.TOTL.ZS; SL.UEM.1524.ZS; SL.AGR.EMPL.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,12,12. Labor Market and Human Capital,3,"Agriculture, Industry, Services, and Productivity",report/sections/12-03-agriculture-industry-services-and-productivity.html,SL.TLF.TOTL.IN; SL.TLF.CACT.ZS; SL.TLF.CACT.FE.ZS; SL.UEM.TOTL.ZS; SL.UEM.1524.ZS; SL.AGR.EMPL.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,12,12. Labor Market and Human Capital,4,"Education, TVET, Innovation, and Human Capital",report/sections/12-04-education-tvet-innovation-and-human-capital.html,SL.TLF.TOTL.IN; SL.TLF.CACT.ZS; SL.TLF.CACT.FE.ZS; SL.UEM.TOTL.ZS; SL.UEM.1524.ZS; SL.AGR.EMPL.ZS; SE.SEC.ENRR; SE.TER.ENRR,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,13,"13. Education, Health, and Welfare",1,"Education System, Outcomes, and Public Spending",report/sections/13-01-education-system-outcomes-and-public-spending.html,SE.SEC.ENRR; SE.TER.ENRR; SE.XPD.TOTL.GD.ZS; SP.DYN.LE00.IN; SP.DYN.IMRT.IN; SH.XPD.CHEX.GD.ZS; SH.XPD.CHEX.PC.CD; SH.MED.BEDS.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,13,"13. Education, Health, and Welfare",2,Health Outcomes and Service Capacity,report/sections/13-02-health-outcomes-and-service-capacity.html,SE.SEC.ENRR; SE.TER.ENRR; SE.XPD.TOTL.GD.ZS; SP.DYN.LE00.IN; SP.DYN.IMRT.IN; SH.XPD.CHEX.GD.ZS; SH.XPD.CHEX.PC.CD; SH.MED.BEDS.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,13,"13. Education, Health, and Welfare",3,"Public Health, Welfare, Water, and Sanitation",report/sections/13-03-public-health-welfare-water-and-sanitation.html,SE.SEC.ENRR; SE.TER.ENRR; SE.XPD.TOTL.GD.ZS; SP.DYN.LE00.IN; SP.DYN.IMRT.IN; SH.XPD.CHEX.GD.ZS; SH.XPD.CHEX.PC.CD; SH.MED.BEDS.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,13,"13. Education, Health, and Welfare",4,Human Development and Territorial Equity,report/sections/13-04-human-development-and-territorial-equity.html,SE.SEC.ENRR; SE.TER.ENRR; SE.XPD.TOTL.GD.ZS; SP.DYN.LE00.IN; SP.DYN.IMRT.IN; SH.XPD.CHEX.GD.ZS; SH.XPD.CHEX.PC.CD; SH.MED.BEDS.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,14,14. Financial Sector and Economic Institutions,1,Central Bank and Monetary Policy,report/sections/14-01-central-bank-and-monetary-policy.html,FS.AST.PRVT.GD.ZS; CM.MKT.LCAP.GD.ZS; NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,IMF-MMR; ILO-MMR; WHO-MMR,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,14,14. Financial Sector and Economic Institutions,2,"Banks, Private Credit, and Financial Stability",report/sections/14-02-banks-private-credit-and-financial-stability.html,FS.AST.PRVT.GD.ZS; CM.MKT.LCAP.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,14,14. Financial Sector and Economic Institutions,3,"Capital Markets, Digital Payments, and Inclusion",report/sections/14-03-capital-markets-digital-payments-and-inclusion.html,IT.NET.USER.ZS; IT.CEL.SETS.P2; FS.AST.PRVT.GD.ZS; CM.MKT.LCAP.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,14,14. Financial Sector and Economic Institutions,4,Financial Regulation and Investor Protection,report/sections/14-04-financial-regulation-and-investor-protection.html,FS.AST.PRVT.GD.ZS; CM.MKT.LCAP.GD.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,15,"15. Foreign Relations, Security, and Geopolitics",1,Foreign Policy and Regional Positioning,report/sections/15-01-foreign-policy-and-regional-positioning.html,MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS; NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,15,"15. Foreign Relations, Security, and Geopolitics",2,"Borders, Internal Security, and Transnational Risks",report/sections/15-02-borders-internal-security-and-transnational-risks.html,MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
